ley,no,fecha,codNota,confianza,titulo_dof,decreto_dip
cpeum,10,19-12-1931,4546751,1.0,"DECRETO que modifica los artículos 43 y 45 de la Constitución General de la República, suprimiendo el Territorio de Quintana Roo","DECRETO que modifica los artículos 43 y 45 de la Constitución General de la República, suprimiendo el Territorio de Quintana Roo. Suprime el Territorio de Quintana Roo para ampliar los estados de Yucatán y Campeche."
cpeum,11,27-04-1933,4456687,1.0,"DECRETO que reforma la fracción X del artículo 73 de la Constitución General de la República, facultando al Congreso para expedir las leyes del trabajo reglamentarias del artículo 123 de la propia Constitución","DECRETO que reforma la fracción X del artículo 73 de la Constitución General de la República, facultando al Congreso para expedir las leyes del trabajo reglamentarias del artículo 123 de la propia Constitución. Somete a la jurisdicción federal todo lo relativo al trabajo de la industria textil."
cpeum,12,29-04-1933,4456860,1.0,DECRETO que reforma varios artículos de la Constitución General de la República. (Elección de Poderes Federales),"DECRETO que reforma varios artículos de la Constitución General de la República (Elección de Poderes Federales). Incorpora el principio de la No Reelección de manera absoluta para el Presidente de la República y los gobernadores de los estados, y con un periodo de receso por lo que se refiere a los diputados y senadores del Congreso federal, diputados de las cámaras locales, presidentes municipales y regidores y síndicos de los ayuntamientos del país. Amplía el periodo de actuación de los miembros del Poder Legislativo federal."
cpeum,13,04-11-1933,4484975,1.0,DECRETO que reforma la fracción IX del artículo 123 constitucional. (Salario mínimo),"DECRETO que reforma la fracción IX del artículo 123 Constitucional. (Salario mínimo). Permite a las juntas centrales de conciliación y arbitraje de los estados, fijar el salario mínimo cuando éste no sea fijado por las comisiones especiales municipales."
cpeum,14,10-01-1934,4496534,1.0,DECRETO que reforma el artículo 27 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que reforma el artículo 27 de la Constitución Política de los Estados Unidos Mexicanos. Aclaración | DOF 03/03/1934 | Imagen | Reforma agraria. Precisa el derecho de los centros de población a recibir tierras suficientes. Modifica los plazos y trámites administrativos para la restitución y dotación de tierras. Concede facultades extraordinarias al Ejecutivo Federal para expedir la Ley Reglamentaria del artículo 27 constitucional y una nueva Ley de Secretarías de Estado y Departamentos. Fija las bases para una nueva codificación agraria.
cpeum,15,18-01-1934,4497255,0.968,DECRETO que reforma el artículo 42 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que reforma los artículos 42 de la Constitución Política de los Estados Unidos Mexicanos. Suprime a la Isla de la Pasión de las partes integrantes de la Federación y del Territorio Nacional.
cpeum,16,18-01-1934,4497264,1.0,"DECRETO que reforma los artículos 30, 37, 73, fracción XVI y 133 de la Constitución Política de los Estados Unidos Mexicanos","DECRETO que reforma los artículos 30, 37, 73, fracción XVI y 133 de la Constitución Política de los Estados Unidos Mexicanos. Establece nuevas reglas sobre nacionalidad y naturalización. Faculta al Congreso p ara dictar leyes sobre nacionalidad, condición jurídica de los extranjeros, ciudadanía, naturalización, colonización, emigración e inmigración."
cpeum,17,18-01-1934,4497273,1.0,DECRETO que reforma la fracción X del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos. (Facultades del Congreso),DECRETO que reforma la fracción X del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos. (Facultades del Congreso). Faculta al Congreso para legislar sobre energía eléctrica y para fijar el rendimientos de los impuestos que correspondan.
cpeum,18,18-01-1934,4497279,0.891,DECRETO que reforma la fracción I del artículo 104 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO por lo cual se reforma la fracción I del artículo 104 de la Constitución Política de los Estados Unidos Mexicanos. Suprime el recurso de reclamación, ante la Suprema Corte de Justicia, por sentencias que los Tribunales de la Federación dicten en segunda instancia."
cpeum,19,22-03-1934,4505656,1.0,DECRETO que adiciona el artículo 45 constitucional,DECRETO que adiciona el artículo 45 constitucional. Determina las islas y cayos que quedan sujetas a la jurisdicción de los estados de Yucatán y Campeche.
cpeum,20,13-12-1934,4558424,1.0,DECRETO que reforma el artículo 3º y la fracción XXV del 73 constitucionales,DECRETO que reforma el artículo 3º y la fracción XXV del 73 constitucionales. Incorpora el carácter socialista de la educación que imparta el Estado. Modifica los principios constitucionales de la función educativa.
cpeum,21,15-12-1934,4558620,1.0,"DECRETO que reforma el último párrafo de la base 4ª de la fracción VI del artículo 73, el artículo 94 y las fracciones II y III del 95 de la Constitución Política de los Estados Unidos Mexicanos","DECRETO que reforma el último párrafo de la base 4ª de la fracción VI del artículo 73, el artículo 94 y las fracciones II y III del 95 de la Constitución Política de los Estados Unidos Mexicanos. Limita a 6 años los cargos de ministros de la Suprema Corte de Justicia, magistrados de Circuito y jueces de Distrito. Fija un máximo de 65 años de edad, así como una antigüedad mínima 5 años como abogado para ser Ministro de la Suprema Corte de Justicia. Crea una nueva Sala de la SCJN."
cpeum,22,15-12-1934,4558625,1.0,DECRETO que reforma el artículo 32 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que reforma el artículo 32 de la Constitución Política de los Estados Unidos Mexicanos. Estipula como obligatoria la calidad de ciudadano mexicano por nacimiento para desempeñar el cargo de capitán de puerto y todos los servicios de practicaje, así como las funciones de agente aduanal en la República."
cpeum,23,16-01-1935,4421490,1.0,DECRETO que reforma los artículos 43 y 45 constitucionales,DECRETO que reforma los artículos 43 y 45 constitucionales. Restaura el Territorio de Quintana Roo.
cpeum,24,18-01-1935,4421655,1.0,DECRETO que reforma la fracción X del artículo 73 constitucional,DECRETO que reforma la fracción X del artículo 73 constitucional. Otorga al Congreso la facultada para legislar en toda la República sobre industria cinematográfica.
cpeum,25,06-12-1937,4564707,1.0,DECRETO que reforma la fracción VII del artículo 27 constitucional,DECRETO que reforma la fracción VII del artículo 27 constitucional. Considera de jurisdicción federal todas las cuestiones por límites de terrenos comunales que se hallen pendientes o se susciten entre dos o más núcleos de población. Da al Ejecutivo la facultad para proponer una resolución definitiva a dichas cuestiones.
cpeum,26,12-08-1938,4435618,1.0,DECRETO que reforma el artículo 49 constitucional,"DECRETO que reforma el artículo 49 constitucional. Establece de forma expresa que, salvo el caso de facultades extraordinarias al Ejecutivo Federal previstas en el artículo 29 constitucional, en ningún otro caso se otorgarán al Ejecutivo facultades extraordinarias para legislar."
cpeum,27,31-12-1938,4445604,1.0,DECRETO que reforma la fracción XVIII del artículo 123 Constitucional,DECRETO que reforma la fracción XVIII del artículo 123 Constitucional. Suprime la disposición que excluye del derecho de huelga a los obreros de los establecimientos fabriles militares del gobierno de la República.
cpeum,28,11-09-1940,4545841,1.0,DECRETO que reforma los párrafos IV del artículo 97 y I del artículo 102 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que reforma los párrafos IV del artículo 97 y I del artículo 102 de la Constitución Política de los Estados Unidos Mexicanos. Establece que el nombramiento y remoción de los funcionarios y empleados de la Suprema Corte de Justicia de la Nación y del Ministerio Público de la Federación, deberá realizarse conforme a la ley secundaria."
cpeum,29,09-11-1940,4556403,1.0,DECRETO que adiciona el párrafo sexto del artículo 27 constitucional.- (Petróleo),"DECRETO que adiciona el párrafo sexto del artículo 27 constitucional.- (Petróleo). Adiciona de forma expresa que tratándose del petróleo y de los carburos de hidrógeno sólidos, líquidos o gaseosos, no se expedirán concesiones y la Ley Reglamentaria respectiva determinará la forma en que la Nación llevará a cabo las explotaciones de esos productos."
cpeum,30,14-12-1940,4564799,1.0,DECRETO que reforma la fracción X del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que reforma la fracción X del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos. Establece la competencia de las autoridades federales en la industria eléctrica, en cuanto a la aplicación de las leyes del trabajo."
cpeum,31,14-12-1940,4564806,1.0,DECRETO que reforma la fracción VI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que reforma la fracción VI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos. Estipula la división de los Territorios en municipalidades, las cuales estará a cargo de ayuntamientos de elección popular directa."
cpeum,32,24-10-1942,4544048,1.0,DECRETO que modifica los artículos 73 y 117 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que modifica los artículos 73 y 117 de la Constitución Política de los Estados Unidos Mexicanos. Regula las contribuciones sobre producción y consumo de tabacos labrados.
cpeum,33,17-11-1942,4546605,0.971,DECRETO que reforma el segundo párrafo del artículo 5º constitucional,DECRETO que reforma el segundo párrafo del artículo 5 o constitucional. Determina que los servicios profesionales de índole social serán obligatorios y retribuidos en los términos de la ley secundaria.
cpeum,34,18-11-1942,4546750,0.93,"DECRETO que reforma el artículo 73, en su fracción X, y adiciona el 123 de la Constitución Política de los Estados Unidos Mexicanos","DECRETO que reforma el artículo 73, en su fracción X, y adiciona el artículo 123 de la Constitución Política de los Estados Unidos Mexicanos. Establece de forma expresa los asuntos y materias que son de la competencia exclusiva de las autoridades federales, en cuanto a la aplicación de las leyes del trabajo."
cpeum,35,30-12-1942,4551308,1.0,DECRETO por el cual se reforma el artículo 52 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO por el cual se reforma el artículo 52 de la Constitución Política de los Estados Unidos Mexicanos. Incrementa la proporción de habitantes de la fórmula poblacional que establece la Constitución para la elección de los diputados federales.
cpeum,36,08-01-1943,4553263,1.0,DECRETO que reforma las fracciones V y VI del artículo 82 y el párrafo tercero de la fracción III del 115 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que reforma las fracciones V y VI del artículo 82 y el párrafo tercero de la fracción III del 115 de la Constitución Política de los Estados Unidos Mexicanos. Reduce de 1 año a 6 meses el plazo fijado para la separación de los cargos públicos que desempeñen los miembros del ejército y los altos funcionarios que aspiren al cargo de Presidente de la República. Amplía de 4 a 6 años la duración del cargo de Gobernador de un estado.
cpeum,37,10-02-1944,4445502,0.994,"DECRETO que modifica los artículos 32, 73, fracción XIV; 76, fracción II, y 89, fracciones IV, V y VI, de la Constitución Política de los Estados Unidos Mexicanos","DECRETO que modifica los artículos 32, 73, fracción XVI; 76, fracción II, y 89, fracciones IV, V y VI, de la Constitución Política de los Estados Unidos Mexicanos. Instaura a la Fuerza Aérea Nacional como una de las instituciones armadas de la Unión, con la misma categoría que el Ejército y la Marina de Guerra."
cpeum,38,21-09-1944,4481587,0.992,"DECRETO que reforma los artículos 73, fracción VI, base 4a; 94 y 111 de la Constitución Política de los Estados Unidos Mexicanos","DECRETO que reforma los artículos 73, fracción VI, base 4 a ; 94 y 111 de la Constitución Política de los Estados Unidos Mexicanos. Fija reglas para la permanencia de los Ministros de la Suprema Corte de Justicia de la Nación, Magistrados de Circuito, Jueces de Distrito, Magistrados del Tribunal Superior de Justicia del Distrito Federal y de los Territorios, y de los jueces del orden común del Distrito Federal y de los Territorios. Establece el procedimiento de destitución de estos funcionarios judiciales, sólo a solicitud del Ejecutivo Federal ante la Cámara de Diputados."
cpeum,39,21-04-1945,4517568,1.0,DECRETO que reforma el párrafo V del artículo 27 Constitucional,"DECRETO que reforma el párrafo V del artículo 27 Constitucional. Permite al Ejecutivo reglamentar la extracción, utilización y aprovechamiento de aguas del subsuelo y otras aguas propiedad de la Nación."
cpeum,40,30-12-1946,4620180,0.917,DECRETO por el cual se reforma la fracción I del artículo 104 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que se reforma la fracción I del artículo 104 de la Constitución Política de los Estados Unidos Mexicanos. Estipula que en los juicios en que la Federación esté interesada, las leyes secundarias podrán establecer recursos ante la Suprema Corte de Justicia, contra las sentencias de segunda instancia o contra las de tribunales administrativos a los que la ley federal dote de autonomía para dictar sus fallos."
cpeum,41,30-12-1946,4620191,1.0,DECRETO que reforma el artículo 3º de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que reforma el artículo 3º de la Constitución Política de los Estados Unidos Mexicanos. Reforma integral a los principios constitucionales que rigen la educación impartida por el Estado. Suprime el carácter “socialista” de la educación.
cpeum,42,30-12-1946,4620201,0.988,DECRETO por el cual se reforma la fracción VIII del artículo 72 y adiciona la fracción VIII del artículo 417 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO por el cual se reforma la fracción VIII del artículo 73 y adiciona la fracción VIII del artículo 117 de la Constitución Política de los Estados Unidos Mexicanos. Precisa que los empréstitos que celebre el Ejecutivo, deberán destinarse a la ejecución de obras que directamente produzcan un incremento en los ingresos públicos, salvo aquellos que se realicen con propósitos de regulación monetaria, las operaciones de conversión y los que se contraten durante alguna emergencia."
cpeum,43,12-02-1947,4629774,1.0,"DECRETO que reforma las fracciones X, XIV y XV del artículo 27 de la Constitución Política de los Estados Unidos Mexicanos","DECRETO que reforma las fracciones X, XIV y XV del artículo 27 de la CONSTITUCIÓN Política de los Estados Unidos Mexicanos. Aumenta el tamaño de la superficie de dotación que se concede a los núcleos de población ejidal. Otorga a los pequeños propietarios agrícolas o ganaderos en explotación, que posean certificados de inafectabilidad, el derecho a promover el juicio de amparo contra la privación o afectación agraria de sus tierras o aguas."
cpeum,44,12-02-1947,4629783,1.0,DECRETO que adiciona el párrafo primero de la fracción primera del artículo 115 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que adiciona el párrafo primero de la fracción primera del artículo 115 de la Constitución Política de los Estados Unidos Mexicanos. Incorpora la participación de las mujeres en las elecciones municipales, en igualdad de condición que los varones, con el derecho de votar y ser votadas."
cpeum,45,29-12-1947,4691943,1.0,DECRETO que adiciona la fracción X del artículo 73 de la Constitución General de la República,DECRETO que adiciona la fracción X del artículo 73 de la Constitución General de la República. Establece la facultad del Congreso para legislar en toda la República sobre juegos con apuestas y sorteos.
cpeum,46,02-12-1948,4505430,1.0,DECRETO que declara reformada y adicionada la fracción I del artículo 20 de la Constitución General de la República,DECRETO que declara reformada y adicionada la fracción I del artículo 20 de la Constitución General de la República. Incrementa el monto de la caución requerida para que un acusado en un juicio de orden criminal pueda obtener su libertad bajo fianza.
cpeum,47,02-12-1948,4505440,1.0,DECRETO que declara adicionada la fracción I del artículo 27 de la Constitución de la República,"DECRETO que declara adicionada la fracción I del artículo 27 de la Constitución de la República. Establece que el Estado, a través de la Secretaría de Relaciones y con base en el principio de reciprocidad, podrá conceder autorización a los Estados extranjeros para que adquieran, en el lugar permanente de la residencia de los Poderes Federales, la propiedad privada de bienes inmuebles necesarios para el servicio directo de sus embajadas o legaciones."
cpeum,48,10-02-1949,4522481,1.0,DECRETO que adiciona la fracción XXIX del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que adiciona la fracción XXIX del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos. Otorga al Congreso la facultad para establecer contribuciones especiales sobre producción y consumo de cerveza.
cpeum,49,19-02-1951,4455756,1.0,"DECRETO que reforma los artículos 73 fracción VI, base cuarta, párrafo último; 94, 97, párrafo primero, 98 y 107 de la Constitución General de la República","DECRETO que reforma los artículos 73, fracción VI, base cuarta, párrafo último; 94, 97, párrafo primero, 98 y 107 de la Constitución General de la República. Fe de erratas | DOF 14/03/1951 | Imagen | Reforma integral del Poder Judicial Federal, relativa a su integración, distribución de competencias, renovación de magistrados y juicio de amparo."
cpeum,50,28-03-1951,4462667,1.0,DECRETO que adiciona el artículo 131 y reforma el artículo 49 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que adiciona el artículo 131 y reforma el artículo 49 de la Constitución Política de los Estados Unidos Mexicanos. Establece que el Ejecutivo Federal podrá ser facultado por el Congreso para aumentar, disminuir o suprimir las cuotas de las tarifas de exportación e importación que expida el propio Congreso, y para crear otras; así como para restringir y para prohibir las importaciones, las exportaciones y el tránsito de productos y artículos, cuando el Ejecutivo lo estime urgente, a fin de regular el comercio exterior, la economía del país, la estabilidad de la producción nacional, o con otro propósito en beneficio del país."
cpeum,51,11-06-1951,4475301,1.0,DECRETO que reforma el artículo 52 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que reforma el artículo 52 de la Constitución Política de los Estados Unidos Mexicanos. Eleva la proporción de habitantes de la fórmula poblacional que establece la Constitución para la elección de los diputados federales.
cpeum,52,16-01-1952,4523756,1.0,DECRETO que reforma los artículos 43 y 45 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que reforma los artículos 43 y 45 de la Constitución Política de los Estados Unidos Mexicanos. Consagra la erección constitucional del Estado de Baja California.
cpeum,53,17-10-1953,4633970,1.0,DECRETO que reforma los artículos 34 y 115 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que reforma los artículos 34 y 115 de la Constitución Política de los Estados Unidos Mexicanos. Incluye de manera expresa a “las mujeres” como ciudadanos de la República. Suprime el precepto constitucional que restringe la participación de las mujeres sólo a las elecciones municipales.
cpeum,54,20-01-1960,4621696,1.0,"DECRETO que reforma los párrafos cuarto, quinto, sexto y séptimo, fracción I del artículo 27 y los artículos 42 y 48 de la Constitución Política de los Estados Unidos Mexicanos","DECRETO que reforma los párrafos cuarto, quinto, sexto y séptimo fracción I del artículo 27 y los artículos 42 y 48 de la Constitución Política de los Estados Unidos Mexicanos. Prohíbe de manera expresa las concesiones y contratos tratándose de petróleo y de los carburos de hidrógeno sólido, líquidos o gaseosos y suprime cualquier concesión o contrato que se haya otorgado sobre esta materia. Declara el dominio directo de la Nación de todos los recursos naturales de la plataforma continental y los zócalos submarinos de las islas. Detalla los elementos territoriales que dependen directamente del Gobierno de la Federación."
cpeum,55,05-12-1960,4672635,1.0,DECRETO que reforma y adiciona el artículo 123 de la Constitución General de la República,"DECRETO que reforma y adiciona el artículo 123 de la Constitución General de la República. Consagra en la Constitución las reglas, derechos y garantías sociales sobre el trabajo que deben regir entre los Poderes de la Unión, los Gobiernos del Distrito y de los Territorios Federales y sus trabajadores (trabajadores al servicio del Estado)."
cpeum,56,20-12-1960,4675293,0.896,DECRETO que reforma el artículo 52 de la Constitución General de la República,DECRETO que reforma reforma el artículo 52 de la Constitución General de la República. Aumenta la proporción de habitantes de la fórmula poblacional que fija la Constitución para la elección de los diputados federales.
cpeum,57,29-12-1960,4676824,1.0,DECRETO que declara adicionado el párrafo sexto del Artículo 27 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que declara adicionado el párrafo sexto del Artículo 27 de la Constitución Política de los Estados Unidos Mexicanos. Fe de erratas | DOF 07/01/1961 | Imagen | Determina que corresponde exclusivamente a la Nación, conducir, transformar, distribuir y abastecer energía eléctrica que tenga por objeto la prestación de servicio público. Señala que en esta materia no se otorgarán concesiones a los particulares."
cpeum,58,27-11-1961,4639104,0.936,DECRETO por el que se reforma el párrafo segundo de la fracción IV del inciso B del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos,"DECRETO que reforma el párrafo segundo de la fracción IV del inciso B del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos. Precisa, para el caso de los trabajadores al servicio del Estado, que en ningún caso los salarios podrán ser inferiores al mínimo para los trabajadores en general en el Distrito Federal y en las Entidades de la República."
cpeum,59,02-11-1962,4692696,0.939,DECRETO por el que se adiciona con un párrafo final la fracción II del artículo 107 Constitucional,"DECRETO por el que se adiciona con un párrafo final la fracción II del artículo 107 de la Constitucional. Establece la obligación de suplir la deficiencia de la queja, en los juicios de amparo que afecten los derechos de los ejidos o núcleos de población comunal. Precisa que en estos mismos juicios no procederán el desistimiento, el sobreseimiento por inactividad, ni la caducidad de la instancia."
cpeum,60,21-11-1962,4694659,1.0,DECRETO que reforma el Artículo 123 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO que reforma el artículo 123 de la Constitución Política de los Estados Unidos Mexicanos. Reforma laboral relativa a: jornada máxima de trabajo nocturno; trabajo de los menores; salarios mínimos; participación en las utilidades de las empresas; arbitraje e indemnización; y ramas del trabajo de competencia exclusiva de las autoridades federales.
cpeum,61,22-06-1963,4727127,1.0,DECRETO de Reformas y Adiciones a los artículos 54 y 63 de la Constitución Política de los Estados Unidos Mexicanos,DECRETO de Reformas y Adiciones a los artículos 54 y 63 de la Constitución Política de los Estados Unidos Mexicanos. Crea la figura de Diputados de Partido y fija las reglas de representación proporcional para la asignación de los mismos.
cpeum,62,23-02-1965,4603805,1.0,DECRETO que reforma y adiciona el artículo 18 Constitucional,"DECRETO que reforma y adiciona el artículo 18 Constitucional. Modifica las reglas del sistema penitenciario nacional. Permite a los estados celebrar convenios con la Federación, para que los reos sentenciados por delitos del orden común extingan su condena en establecimientos del Ejecutivo Federal. Precisa que las mujeres compurgarán sus penas en lugares separados de los destinados a los hombres y que se establecerán instituciones especiales para el tratamiento de menores infractores."
cpeum,63,13-01-1966,4651100,1.0,DECRETO que declara adicionada la fracción XXV del artículo 73 de la Constitución General de la República,"DECRETO que declara adicionada la fracción XXV del artículo 73 de la Constitución General de la República. Faculta al Congreso para legislar sobre monumentos arqueológicos artísticos e históricos, cuya conservación sea de interés nacional."
cpeum,64,21-10-1966,4700323,1.0,"DECRETO que reforma los artículos 73, 89 y 117 de la Constitución General de la República","DECRETO que reforma los artículos 73, 89 y 117 de la Constitución General de la República. Aclaración | DOF 22/10/1966 | Imagen | Suprime la atribución del Congreso para reglamentar el modo cómo deban expedirse las patentes de corso."
cpeum,65,21-10-1966,4700332,0.892,"DECRETO que reforma y adiciona los artículos 79, 88, 89 y 135 de la Constitución General de la República","DECRETO que reforma los artículos 79, 88, 89 y 135 de la Constitución General de la República. Aclaración | DOF 22/10/1966 | Imagen | Amplía las facultades de la Comisión Permanente durante el receso del Congreso: para turnar a las comisiones de cada una de las cámaras las iniciativas de ley; para ratificar los nombramientos que haga el Presidente de la República de altos funcionarios; para otorgar permiso al Presidente para ausentarse del territorio nacional; y para hacer el cómputo de los votos de las legislaturas y la declaratoria de reformas constitucionales."
cpeum,66,24-10-1967,4773731,1.0,DECRETO que declara adicionado el Artículo 73 de la Constitución General de la República,"DECRETO que declara adicionado el Artículo 73 de la Constitución General de la República. Otorga al Congreso la facultad para legislar sobre las características y uso de la bandera, escudo e himno nacionales."
cpeum,67,25-10-1967,4774022,0.985,"DECRETO que reforma y adiciona los artículos 94, 98, 100, 102, 104 fracción I, 105 y 107 fracciones II párrafo final, III, IV, V, VI, VIII, XIII y XIV, de la Constitución Política de los Estados Unidos Mexicanos","DECRETO que reforma y adiciona los artículos 94, 98, 100, 102, 104 fracción I, 105 y 107 fracción II párrafo final, III, IV, V, VI, VIII, XIII y XVI, de la Constitución Política de los Estados Unidos Mexicanos. Reforma judicial. Redistribuye competencias entre la Suprema Corte de Justicia y los Tribunales Colegiados de Circuito. Incluye a las leyes locales en la esfera de obligatoriedad de la jurisprudencia que establezcan los tribunales del Poder Judicial Federal. Modifica la operación del juicio de amparo."
cpeum,68,22-12-1969,4650410,0.904,DECRETO por el que se reforma el artículo 34 de la Constitución Política de los Estados Unidos Mexicanos. ,DECRETO que reforma el artículo 34 de la Constitución Política de los Estados Unidos Mexicanos. Fija en 18 años cumplidos el requisito de edad para ser considerado ciudadano de la República.
cpeum,69,26-12-1969,4651662,1.0,DECRETO que reforma la fracción II del inciso A) del artículo 30 de la Constitución Política de los Estados Unidos Mexicanos. ,"DECRETO que reforma la fracción II del inciso A) del artículo 30 de la Constitución Política de los Estados Unidos Mexicanos. Concede la calidad de mexicanos por nacimientos, a los que nazcan en el extranjero de “madre mexicana”."
cpeum,70,06-07-1971,4764542,1.0,DECRETO por el que se reforma el artículo 74 y se adiciona el 79 de la Constitución Política de los Estados Unidos Mexicanos. ,DECRETO por el que se reforma el artículo 74 y se adiciona el 79 de la Constitución Política de los Estados Unidos Mexicanos. Otorga a la Cámara de Diputados la facultad de erigirse en Colegio Electoral para calificar las elecciones de los ayuntamientos de los Territorios.
cpeum,71,06-07-1971,4764550,1.0,DECRETO por el que se adiciona la base 4a. de la fracción XVI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos. ,DECRETO por el que se adiciona la base 4a. de la fracción XVI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos. Faculta al Consejo de Salubridad General para adoptar medidas encaminadas a prevenir la contaminación ambiental.
cpeum,72,22-10-1971,4780743,1.0,DECRETO por el que se reforma el artículo 10 de la Constitución Política de los Estados Unidos Mexicanos. ,DECRETO por el que se reforma el artículo 10 de la Constitución Política de los Estados Unidos Mexicanos. Establece que el derecho de los habitantes del país a poseer armas se limita al domicilio. Precisa que la portación de las armas quedará sujeta a las disposiciones de una ley federal.
